epoch,accuracy,loss,val_accuracy,val_loss
0,0.04381793364882469,3.606412887573242,0.10461956262588501,3.449561357498169
1,0.08627717196941376,3.426924705505371,0.16847826540470123,3.2512404918670654
2,0.12398097664117813,3.232836961746216,0.21739129722118378,3.0013391971588135
3,0.13926629722118378,3.082556962966919,0.25,2.8106470108032227
4,0.19361412525177002,2.9130265712738037,0.28125,2.669243574142456
5,0.21127717196941376,2.8045122623443604,0.31929346919059753,2.5154221057891846
6,0.22758151590824127,2.7094500064849854,0.3383152186870575,2.426335096359253
7,0.24660326540470123,2.6235897541046143,0.36548912525177,2.3080153465270996
8,0.2632472813129425,2.5416946411132812,0.38858696818351746,2.234738826751709
9,0.28566575050354004,2.484950065612793,0.395380437374115,2.1544082164764404
10,0.29110053181648254,2.4274511337280273,0.40489131212234497,2.0853192806243896
11,0.29823368787765503,2.38824462890625,0.4211956560611725,2.037789821624756
12,0.30604618787765503,2.3230817317962646,0.45652174949645996,1.9789183139801025
13,0.3165760934352875,2.2882463932037354,0.4375,1.9322857856750488
14,0.3444293439388275,2.240954637527466,0.45108696818351746,1.8936817646026611
15,0.34171196818351746,2.2249953746795654,0.46739131212234497,1.8599082231521606
16,0.35767662525177,2.189570188522339,0.47690218687057495,1.8167259693145752
17,0.36820653080940247,2.1577374935150146,0.46739131212234497,1.7945884466171265
18,0.36616846919059753,2.1310720443725586,0.479619562625885,1.75413179397583
19,0.37669837474823,2.0797486305236816,0.48233696818351746,1.7241461277008057
